2021-02-04 09:34:11.714 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [am.gitc.spring_exp.controllers.UserControllerTest], using SpringBootContextLoader
2021-02-04 10:14:57.445 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6f152006, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3a393455, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@13518f37, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7cbc3762, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3a6f2de3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@49872d67, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56303b57, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b2a01d4, org.springframework.test.context.event.EventPublishingTestExecutionListener@8692d67, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@78f5c518, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2f48b3d2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@34f7234e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@753432a2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23bff419, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4983159f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44e3a2b2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@101639ae]
2021-02-04 10:14:58.758 INFO  a.g.s.s.Impl.UserServiceImplTest - Starting UserServiceImplTest using Java 14.0.1 on DESKTOP-HV98VPO with PID 222724 (started by Arthur in C:\Users\Arthur\Desktop\spring_exp)
2021-02-04 10:14:58.762 INFO  a.g.s.s.Impl.UserServiceImplTest - No active profile set, falling back to default profiles: default
2021-02-04 10:15:03.033 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 10:15:03.037 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-02-04 10:15:03.146 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface am.gitc.spring_exp.repositories.UserRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2021-02-04 10:15:03.148 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 97 ms. Found 0 JPA repository interfaces.
2021-02-04 10:15:03.292 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-04 10:15:03.293 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2021-02-04 10:15:03.364 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 1 MongoDB repository interfaces.
2021-02-04 10:15:22.370 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-04 10:15:23.501 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.27.Final
2021-02-04 10:15:23.921 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-02-04 10:15:25.851 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-02-04 10:15:34.239 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-02-04 10:15:34.965 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-02-04 10:15:39.152 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-04 10:15:39.205 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 10:15:43.900 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-04 10:15:47.822 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
2021-02-04 10:15:50.136 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:329}] to localhost:27017
2021-02-04 10:15:50.136 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:328}] to localhost:27017
2021-02-04 10:15:50.138 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2008448000}
2021-02-04 10:15:52.294 INFO  a.g.s.s.Impl.UserServiceImplTest - Started UserServiceImplTest in 54.763 seconds (JVM running for 58.795)
2021-02-04 10:15:52.689 INFO  am.gitc.spring_exp.aspect.LogAspect - returning : -UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex@mial.ru, password=123456789)
2021-02-04 10:15:52.692 INFO  am.gitc.spring_exp.aspect.LogAspect - after : {-save-} args=[UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex@mial.ru, password=123456789)]
2021-02-04 10:15:52.698 INFO  am.gitc.spring_exp.aspect.LogAspect - Around Execution of method {-save-} took 68 ms
2021-02-04 10:15:52.751 INFO  am.gitc.spring_exp.aspect.LogAspect - returning : -[UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex1@mail.ru, password=123), UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex2@mail.ru, password=123), UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex3@mail.ru, password=123)]
2021-02-04 10:15:52.752 INFO  am.gitc.spring_exp.aspect.LogAspect - after : {-getAll-} args=[]
2021-02-04 10:15:52.752 INFO  am.gitc.spring_exp.aspect.LogAspect - Around Execution of method {-getAll-} took 1 ms
2021-02-04 10:15:52.772 INFO  am.gitc.spring_exp.aspect.LogAspect - after : {-save-} args=[UserEntity(id=null, firstName=alex, lastName=ferguson, email=alex@mial.ru, password=123456789)]
2021-02-04 10:15:52.791 INFO  am.gitc.spring_exp.aspect.LogAspect - returning : -Optional[UserEntity(id=601b9118a2e34e1a7ab18ecb, firstName=alex, lastName=ferguson, email=alex@mail.ru, password=123)]
2021-02-04 10:15:52.791 INFO  am.gitc.spring_exp.aspect.LogAspect - after : {-getUserById-} args=[601b9118a2e34e1a7ab18ecb]
2021-02-04 10:15:52.792 INFO  am.gitc.spring_exp.aspect.LogAspect - Around Execution of method {-getUserById-} took 2 ms
2021-02-04 10:15:52.812 INFO  am.gitc.spring_exp.aspect.LogAspect - returning : return try void
2021-02-04 10:15:52.813 INFO  am.gitc.spring_exp.aspect.LogAspect - after : {-deleteUserById-} args=[601b9118a2e34e1a7ab18ecb]
2021-02-04 10:15:52.813 INFO  am.gitc.spring_exp.aspect.LogAspect - Around Execution of method {-deleteUserById-} took 2 ms
2021-02-04 10:15:52.992 INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-02-04 10:15:52.993 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-02-04 10:15:53.027 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-02-04 10:15:53.162 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
